wordsize	num
62	174
63	1949
64	1353
65	1050
66	347
67	620
68	677
69	1049
70	823
71	451
72	714
73	495
74	713
75	690
76	556
77	274
78	218
79	284
80	159
81	231
82	144
83	146
84	209
85	238
86	143
87	203
88	121
89	192
90	86
91	100
92	146
93	72
94	148
95	102
96	49
97	94
98	92
99	80
100	38
101	63
102	55
103	35
104	37
105	47
106	40
107	41
108	42
109	46
110	36
111	89
112	53
113	48
114	25
115	40
116	32
117	26
118	32
119	59
120	63
121	45
122	28
123	30
124	22
125	17
126	13
127	22
128	16
129	60
130	20
131	25
132	19
133	9
134	12
135	17
136	18
137	9
138	31
139	20
140	18
141	11
142	7
143	13
144	7
145	11
146	15
147	23
148	9
149	14
150	7
151	14
152	3
153	11
154	13
155	2
156	8
157	5
158	19
159	8
160	21
161	20
162	21
163	13
164	4
165	3
166	9
167	5
168	17
169	13
170	9
171	6
172	8
173	3
174	10
175	1
176	10
177	6
178	7
179	7
180	15
181	7
182	7
183	3
184	4
185	4
186	2
187	4
188	5
190	1
191	16
192	20
193	7
194	2
195	1
196	2
197	2
199	2
200	8
201	7
202	5
203	2
205	5
206	4
207	2
208	9
209	2
210	5
211	11
212	5
213	3
214	6
216	7
217	2
218	1
219	5
220	4
221	5
222	4
224	1
225	1
226	8
227	1
228	3
229	1
230	6
232	1
234	2
235	9
236	2
237	2
238	1
239	1
240	2
241	2
242	1
243	3
244	3
245	2
247	3
248	1
249	1
250	1
252	1
256	1
264	5
267	2
268	3
269	1
271	10
273	1
274	1
276	1
277	1
278	1
279	1
288	1
289	1
293	2
311	2
312	1
314	1
322	3
324	1
327	1
329	1
332	1
333	1
337	1
339	2
340	1
341	1
348	6
350	1
354	4
357	1
358	1
359	3
362	2
367	1
368	1
371	2
377	2
381	1
387	1
388	2
389	1
394	4
397	1
402	1
406	1
415	3
416	1
422	3
423	1
426	2
428	3
430	2
435	1
440	1
441	2
442	1
444	1
448	1
450	1
451	1
455	1
465	1
471	2
485	1
490	1
496	1
498	1
500	1
501	1
502	1
505	1
506	1
517	1
518	5
520	1
521	1
522	2
523	8
524	6
525	3
527	5
528	4
529	4
530	3
531	1
532	3
534	1
535	2
536	2
537	2
538	3
539	1
540	1
541	2
542	6
543	3
544	1
546	2
547	1
548	4
549	8
550	8
551	5
553	18
554	8
555	3
556	2
558	1
559	2
560	1
562	1
564	2
566	1
567	2
569	2
573	3
575	1
576	2
587	2
589	1
591	1
594	1
597	3
600	4
612	1
616	4
617	2
618	17
619	3
620	3
621	3
622	15
623	7
624	1
626	1
627	2
630	2
634	1
636	1
653	3
654	1
656	1
657	1
689	1
696	2
